,node,z,head,theta,psi,K,C,flux,sink,kappa,v/KsTop,temp,time
24825,46,-45,-65.759,0.1473,4.185996544,0.02881,0.001082,-0.01497,0,-1,-0.000141,20,23.6
24930,46,-45,-65.839,0.1472,4.187212368,0.02869,0.00108,-0.01489,0,-1,-0.00014,20,23.7
25035,46,-45,-65.918,0.1471,4.188411545,0.02857,0.001078,-0.01481,0,-1,-0.00014,20,23.8
25140,46,-45,-65.997,0.1471,4.189609286,0.02846,0.001076,-0.01473,0,-1,-0.000139,20,23.9
25245,46,-45,-66.076,0.147,4.190805595,0.02834,0.001074,-0.01466,0,-1,-0.000138,20,24
25350,46,-45,-66.155,0.1469,4.192000473,0.02823,0.001072,-0.01458,0,-1,-0.000137,20,24.1
25455,46,-45,-66.234,0.1468,4.193193926,0.02812,0.00107,-0.0145,0,-1,-0.000137,20,24.2
25560,46,-45,-66.312,0.1467,4.194370876,0.028,0.001068,-0.01443,0,-1,-0.000136,20,24.3
25665,46,-45,-66.39,0.1467,4.195546443,0.02789,0.001066,-0.01435,0,-1,-0.000135,20,24.4
25770,46,-45,-66.468,0.1466,4.196720629,0.02777,0.001064,-0.01428,0,-1,-0.000135,20,24.5
25875,46,-45,-66.546,0.1465,4.197893438,0.02766,0.001061,-0.0142,0,-1,-0.000134,20,24.6
25980,46,-45,-66.624,0.1464,4.199064873,0.02755,0.001059,-0.01413,0,-1,-0.000133,20,24.7
26085,46,-45,-66.701,0.1463,4.200219945,0.02744,0.001057,-0.01405,0,-1,-0.000132,20,24.8
26190,46,-45,-66.778,0.1463,4.201373685,0.02732,0.001055,-0.01398,0,-1,-0.000132,20,24.9
26295,46,-45,-66.856,0.1462,4.202541053,0.02721,0.001053,-0.01391,0,-1,-0.000131,20,25
65,66,-65,-23.276,0.2477,3.147422787,1.371,0.005185,-0.9735,0,-1,-0.00918,20,0
170,66,-65,-24.108,0.2436,3.182543736,1.211,0.00498,-0.898,0,-1,-0.00846,20,0.1
275,66,-65,-24.831,0.2404,3.212092873,1.129,0.004825,-0.8377,0,-1,-0.00789,20,0.2
380,66,-65,-25.504,0.2375,3.238835303,1.052,0.004682,-0.7817,0,-1,-0.00737,20,0.3
485,66,-65,-26.142,0.2347,3.263543216,0.979,0.004546,-0.73,0,-1,-0.00688,20,0.4
590,66,-65,-26.731,0.2321,3.285823941,0.9114,0.004419,-0.6831,0,-1,-0.00644,20,0.5
695,66,-65,-27.288,0.2296,3.306447045,0.8478,0.004301,-0.6397,0,-1,-0.00603,20,0.6
800,66,-65,-27.81,0.2274,3.325395668,0.7882,0.004189,-0.5999,0,-1,-0.00565,20,0.7
905,66,-65,-28.298,0.2252,3.342791131,0.7325,0.004085,-0.5634,0,-1,-0.00531,20,0.8
1010,66,-65,-28.75,0.2232,3.358637767,0.6809,0.003989,-0.5303,0,-1,-0.005,20,0.9
1115,66,-65,-29.167,0.2214,3.373037933,0.6335,0.003901,-0.5007,0,-1,-0.00472,20,1
1220,66,-65,-29.549,0.2198,3.386049902,0.5904,0.00382,-0.4745,0,-1,-0.00447,20,1.1
1325,66,-65,-29.89,0.2183,3.397523976,0.5553,0.003751,-0.4521,0,-1,-0.00426,20,1.2
1430,66,-65,-30.22,0.2173,3.408503957,0.5418,0.003706,-0.4361,0,-1,-0.00411,20,1.3
1535,66,-65,-30.547,0.2163,3.419266481,0.5282,0.00366,-0.4234,0,-1,-0.00399,20,1.4
1640,66,-65,-30.869,0.2152,3.429752444,0.5148,0.003615,-0.411,0,-1,-0.00387,20,1.5
1745,66,-65,-31.186,0.2142,3.439969276,0.5016,0.00357,-0.399,0,-1,-0.00376,20,1.6
1850,66,-65,-31.5,0.2132,3.449987546,0.4886,0.003527,-0.3875,0,-1,-0.00365,20,1.7
1955,66,-65,-31.811,0.2122,3.459812142,0.4758,0.003483,-0.3763,0,-1,-0.00355,20,1.8
2060,66,-65,-32.116,0.2113,3.469354348,0.4631,0.003441,-0.3654,0,-1,-0.00344,20,1.9
2165,66,-65,-32.417,0.2103,3.478682977,0.4506,0.003399,-0.3548,0,-1,-0.00334,20,2
2270,66,-65,-32.713,0.2094,3.487772552,0.4383,0.003357,-0.3445,0,-1,-0.00325,20,2.1
2375,66,-65,-33.004,0.2085,3.496628766,0.4263,0.003317,-0.3346,0,-1,-0.00315,20,2.2
2480,66,-65,-33.29,0.2076,3.505257052,0.4144,0.003277,-0.3249,0,-1,-0.00306,20,2.3
2585,66,-65,-33.571,0.2067,3.513662599,0.4028,0.003237,-0.3156,0,-1,-0.00297,20,2.4
2690,66,-65,-33.845,0.2058,3.521791278,0.3914,0.003199,-0.3066,0,-1,-0.00289,20,2.5
2795,66,-65,-34.115,0.2049,3.52973717,0.3802,0.003161,-0.2978,0,-1,-0.00281,20,2.6
2900,66,-65,-34.379,0.2041,3.537445913,0.3693,0.003124,-0.2894,0,-1,-0.00273,20,2.7
3005,66,-65,-34.638,0.2033,3.544951345,0.3585,0.003088,-0.2812,0,-1,-0.00265,20,2.8
3110,66,-65,-34.893,0.2025,3.552286236,0.3481,0.003053,-0.2733,0,-1,-0.00258,20,2.9
3215,66,-65,-35.141,0.2017,3.55936854,0.3378,0.003018,-0.2657,0,-1,-0.0025,20,3
3320,66,-65,-35.383,0.2009,3.566231479,0.3277,0.002984,-0.2583,0,-1,-0.00243,20,3.1
3425,66,-65,-35.619,0.2002,3.572879203,0.3179,0.002951,-0.2512,0,-1,-0.00237,20,3.2
3530,66,-65,-35.851,0.1994,3.579371461,0.3084,0.002919,-0.2444,0,-1,-0.0023,20,3.3
3635,66,-65,-36.079,0.1987,3.585710979,0.299,0.002888,-0.2377,0,-1,-0.00224,20,3.4
3740,66,-65,-36.298,0.198,3.591762643,0.2898,0.002857,-0.2313,0,-1,-0.00218,20,3.5
3845,66,-65,-36.508,0.1973,3.597531415,0.2811,0.002827,-0.2253,0,-1,-0.00212,20,3.6
3950,66,-65,-36.717,0.1967,3.603239863,0.2725,0.002798,-0.2194,0,-1,-0.00207,20,3.7
4055,66,-65,-36.915,0.1961,3.608617973,0.2642,0.002771,-0.2139,0,-1,-0.00202,20,3.8
4160,66,-65,-37.104,0.1955,3.613724781,0.2564,0.002744,-0.2088,0,-1,-0.00197,20,3.9
4265,66,-65,-37.29,0.1949,3.618725194,0.2487,0.002718,-0.2038,0,-1,-0.00192,20,4
4370,66,-65,-37.465,0.1943,3.623407164,0.2415,0.002694,-0.1992,0,-1,-0.00188,20,4.1
4475,66,-65,-37.629,0.1938,3.62777503,0.2347,0.002671,-0.195,0,-1,-0.00184,20,4.2
4580,66,-65,-37.796,0.1934,3.632203277,0.2318,0.002656,-0.1917,0,-1,-0.00181,20,4.3
4685,66,-65,-37.959,0.193,3.63650663,0.2295,0.002642,-0.1891,0,-1,-0.00178,20,4.4
4790,66,-65,-38.123,0.1927,3.640817775,0.2272,0.002628,-0.1867,0,-1,-0.00176,20,4.5
4895,66,-65,-38.285,0.1923,3.645058175,0.2248,0.002614,-0.1842,0,-1,-0.00174,20,4.6
5000,66,-65,-38.448,0.192,3.649306679,0.2226,0.002601,-0.1817,0,-1,-0.00171,20,4.7
5105,66,-65,-38.61,0.1916,3.65351131,0.2203,0.002587,-0.1793,0,-1,-0.00169,20,4.8
5210,66,-65,-38.773,0.1912,3.657724128,0.218,0.002573,-0.1769,0,-1,-0.00167,20,4.9
5315,66,-65,-38.935,0.1909,3.661893589,0.2157,0.00256,-0.1745,0,-1,-0.00164,20,5
5420,66,-65,-39.097,0.1905,3.666045738,0.2134,0.002546,-0.1722,0,-1,-0.00162,20,5.1
5525,66,-65,-39.258,0.1902,3.670155245,0.2111,0.002532,-0.1699,0,-1,-0.0016,20,5.2
5630,66,-65,-39.42,0.1898,3.674273302,0.2088,0.002519,-0.1676,0,-1,-0.00158,20,5.3
5735,66,-65,-39.58,0.1895,3.67832394,0.2065,0.002505,-0.1653,0,-1,-0.00156,20,5.4
5840,66,-65,-39.741,0.1891,3.6823834,0.2043,0.002492,-0.1631,0,-1,-0.00154,20,5.5
5945,66,-65,-39.901,0.1887,3.686401386,0.202,0.002478,-0.1609,0,-1,-0.00152,20,5.6
6050,66,-65,-40.062,0.1884,3.690428254,0.1998,0.002465,-0.1587,0,-1,-0.0015,20,5.7
6155,66,-65,-40.221,0.188,3.694389247,0.1975,0.002451,-0.1565,0,-1,-0.00148,20,5.8
6260,66,-65,-40.381,0.1877,3.698359377,0.1953,0.002438,-0.1544,0,-1,-0.00145,20,5.9
6365,66,-65,-40.539,0.1873,3.702264474,0.193,0.002424,-0.1523,0,-1,-0.00144,20,6
6470,66,-65,-40.697,0.187,3.70615438,0.1908,0.002411,-0.1502,0,-1,-0.00142,20,6.1
6575,66,-65,-40.855,0.1866,3.710029213,0.1885,0.002398,-0.1481,0,-1,-0.0014,20,6.2
6680,66,-65,-41.012,0.1863,3.713864707,0.1863,0.002384,-0.1461,0,-1,-0.00138,20,6.3
6785,66,-65,-41.169,0.1859,3.717685546,0.1841,0.002371,-0.144,0,-1,-0.00136,20,6.4
6890,66,-65,-41.325,0.1856,3.721467644,0.1819,0.002358,-0.1421,0,-1,-0.00134,20,6.5
6995,66,-65,-41.481,0.1852,3.725235491,0.1797,0.002345,-0.1401,0,-1,-0.00132,20,6.6
7100,66,-65,-41.636,0.1849,3.728965178,0.1775,0.002332,-0.1381,0,-1,-0.0013,20,6.7
7205,66,-65,-41.79,0.1846,3.732657076,0.1753,0.002319,-0.1362,0,-1,-0.00128,20,6.8
7310,66,-65,-41.944,0.1842,3.736335395,0.1731,0.002306,-0.1343,0,-1,-0.00127,20,6.9
7415,66,-65,-42.097,0.1839,3.739976479,0.171,0.002293,-0.1325,0,-1,-0.00125,20,7
7520,66,-65,-42.25,0.1835,3.743604354,0.1688,0.00228,-0.1306,0,-1,-0.00123,20,7.1
7625,66,-65,-42.402,0.1832,3.747195531,0.1667,0.002267,-0.1288,0,-1,-0.00121,20,7.2
7730,66,-65,-42.553,0.1829,3.750750358,0.1645,0.002254,-0.127,0,-1,-0.0012,20,7.3
7835,66,-65,-42.703,0.1825,3.754269175,0.1624,0.002242,-0.1252,0,-1,-0.00118,20,7.4
7940,66,-65,-42.853,0.1822,3.757775654,0.1603,0.002229,-0.1234,0,-1,-0.00116,20,7.5
8045,66,-65,-43.002,0.1819,3.761246626,0.1582,0.002216,-0.1217,0,-1,-0.00115,20,7.6
8150,66,-65,-43.15,0.1815,3.764682418,0.1561,0.002204,-0.12,0,-1,-0.00113,20,7.7
8255,66,-65,-43.297,0.1812,3.768083349,0.154,0.002192,-0.1183,0,-1,-0.00111,20,7.8
8360,66,-65,-43.443,0.1809,3.771449734,0.152,0.002179,-0.1166,0,-1,-0.0011,20,7.9
8465,66,-65,-43.589,0.1806,3.774804825,0.1499,0.002167,-0.115,0,-1,-0.00108,20,8
8570,66,-65,-43.734,0.1803,3.778125832,0.1479,0.002155,-0.1133,0,-1,-0.00107,20,8.1
8675,66,-65,-43.877,0.1799,3.781390265,0.1458,0.002143,-0.1117,0,-1,-0.00105,20,8.2
8780,66,-65,-44.02,0.1796,3.784644076,0.1438,0.00213,-0.1101,0,-1,-0.00104,20,8.3
8885,66,-65,-44.162,0.1793,3.787864691,0.1418,0.002119,-0.1086,0,-1,-0.00102,20,8.4
8990,66,-65,-44.303,0.179,3.791052395,0.1398,0.002107,-0.1071,0,-1,-0.00101,20,8.5
9095,66,-65,-44.442,0.1787,3.794184968,0.1379,0.002095,-0.1055,0,-1,-0.000995,20,8.6
9200,66,-65,-44.581,0.1784,3.797307759,0.1359,0.002083,-0.1041,0,-1,-0.000981,20,8.7
9305,66,-65,-44.719,0.1781,3.800398467,0.1339,0.002072,-0.1026,0,-1,-0.000967,20,8.8
9410,66,-65,-44.855,0.1778,3.803435065,0.132,0.00206,-0.1011,0,-1,-0.000953,20,8.9
9515,66,-65,-44.99,0.1775,3.806440243,0.1301,0.002049,-0.09971,0,-1,-0.00094,20,9
9620,66,-65,-45.125,0.1772,3.809436417,0.1282,0.002037,-0.09831,0,-1,-0.000927,20,9.1
9725,66,-65,-45.257,0.1769,3.812357354,0.1263,0.002026,-0.09694,0,-1,-0.000914,20,9.2
9830,66,-65,-45.389,0.1766,3.815269785,0.1245,0.002015,-0.09558,0,-1,-0.000901,20,9.3
9935,66,-65,-45.519,0.1763,3.818129821,0.1226,0.002004,-0.09425,0,-1,-0.000888,20,9.4
10040,66,-65,-45.648,0.176,3.820959794,0.1208,0.001993,-0.09294,0,-1,-0.000876,20,9.5
10145,66,-65,-45.775,0.1757,3.823738091,0.119,0.001982,-0.09166,0,-1,-0.000864,20,9.6
10250,66,-65,-45.901,0.1755,3.826486903,0.1172,0.001972,-0.0904,0,-1,-0.000852,20,9.7
10355,66,-65,-46.026,0.1752,3.829206454,0.1155,0.001961,-0.08917,0,-1,-0.00084,20,9.8
10460,66,-65,-46.149,0.1749,3.831875292,0.1137,0.001951,-0.08796,0,-1,-0.000829,20,9.9
10565,66,-65,-46.27,0.1746,3.834493803,0.112,0.001941,-0.08677,0,-1,-0.000818,20,10
10670,66,-65,-46.39,0.1744,3.837083919,0.1103,0.001931,-0.08562,0,-1,-0.000807,20,10.1
10775,66,-65,-46.508,0.1741,3.839624341,0.1087,0.001921,-0.08448,0,-1,-0.000796,20,10.2
10880,66,-65,-46.624,0.1739,3.84211543,0.107,0.001911,-0.08338,0,-1,-0.000786,20,10.3
10985,66,-65,-46.739,0.1736,3.844578934,0.1054,0.001901,-0.08228,0,-1,-0.000775,20,10.4
11090,66,-65,-46.851,0.1733,3.846972353,0.1038,0.001892,-0.08125,0,-1,-0.000766,20,10.5
11195,66,-65,-46.963,0.1731,3.849360058,0.1022,0.001882,-0.08018,0,-1,-0.000756,20,10.6
11300,66,-65,-47.071,0.1729,3.8516571,0.1007,0.001873,-0.07922,0,-1,-0.000747,20,10.7
11405,66,-65,-47.179,0.1726,3.853948878,0.09919,0.001864,-0.0782,0,-1,-0.000737,20,10.8
11510,66,-65,-47.283,0.1724,3.856150823,0.09771,0.001855,-0.0773,0,-1,-0.000729,20,10.9
11615,66,-65,-47.388,0.1722,3.858369032,0.09625,0.001846,-0.07632,0,-1,-0.000719,20,11
11720,66,-65,-47.487,0.1719,3.860455989,0.09483,0.001838,-0.0755,0,-1,-0.000712,20,11.1
11825,66,-65,-47.591,0.1718,3.862643668,0.09417,0.001832,-0.07481,0,-1,-0.000705,20,11.2
11930,66,-65,-47.689,0.1716,3.864700763,0.09371,0.001827,-0.07413,0,-1,-0.000699,20,11.3
12035,66,-65,-47.791,0.1715,3.866837337,0.09324,0.001823,-0.07367,0,-1,-0.000694,20,11.4
12140,66,-65,-47.89,0.1713,3.868906714,0.09278,0.001818,-0.07312,0,-1,-0.000689,20,11.5
12245,66,-65,-47.99,0.1712,3.870992656,0.09232,0.001813,-0.07265,0,-1,-0.000685,20,11.6
12350,66,-65,-48.09,0.171,3.873074255,0.09186,0.001808,-0.07213,0,-1,-0.00068,20,11.7
12455,66,-65,-48.19,0.1709,3.875151531,0.0914,0.001803,-0.07164,0,-1,-0.000675,20,11.8
12560,66,-65,-48.289,0.1707,3.877203791,0.09094,0.001799,-0.07114,0,-1,-0.00067,20,11.9
12665,66,-65,-48.389,0.1706,3.879272515,0.09049,0.001794,-0.07066,0,-1,-0.000666,20,12
12770,66,-65,-48.488,0.1704,3.881316345,0.09003,0.001789,-0.07016,0,-1,-0.000661,20,12.1
12875,66,-65,-48.588,0.1703,3.883376587,0.08957,0.001784,-0.06969,0,-1,-0.000657,20,12.2
12980,66,-65,-48.687,0.1701,3.885412054,0.08911,0.001779,-0.0692,0,-1,-0.000652,20,12.3
13085,66,-65,-48.786,0.17,3.887443386,0.08866,0.001775,-0.06873,0,-1,-0.000648,20,12.4
13190,66,-65,-48.885,0.1698,3.889470601,0.0882,0.00177,-0.06825,0,-1,-0.000643,20,12.5
13295,66,-65,-48.984,0.1697,3.891493714,0.08775,0.001765,-0.06779,0,-1,-0.000639,20,12.6
13400,66,-65,-49.082,0.1695,3.893492369,0.08729,0.00176,-0.06732,0,-1,-0.000634,20,12.7
13505,66,-65,-49.181,0.1694,3.89550737,0.08684,0.001756,-0.06686,0,-1,-0.00063,20,12.8
13610,66,-65,-49.279,0.1692,3.897498027,0.08639,0.001751,-0.06639,0,-1,-0.000626,20,12.9
13715,66,-65,-49.378,0.1691,3.899504981,0.08593,0.001746,-0.06594,0,-1,-0.000621,20,13
13820,66,-65,-49.476,0.1689,3.901487704,0.08548,0.001741,-0.06549,0,-1,-0.000617,20,13.1
13925,66,-65,-49.574,0.1688,3.903466503,0.08503,0.001737,-0.06504,0,-1,-0.000613,20,13.2
14030,66,-65,-49.672,0.1686,3.905441394,0.08458,0.001732,-0.06459,0,-1,-0.000609,20,13.3
14135,66,-65,-49.769,0.1685,3.9073923,0.08413,0.001727,-0.06415,0,-1,-0.000605,20,13.4
14240,66,-65,-49.867,0.1683,3.909359461,0.08368,0.001722,-0.0637,0,-1,-0.0006,20,13.5
14345,66,-65,-49.964,0.1682,3.911302746,0.08323,0.001718,-0.06327,0,-1,-0.000596,20,13.6
14450,66,-65,-50.061,0.168,3.913242262,0.08278,0.001713,-0.06283,0,-1,-0.000592,20,13.7
14555,66,-65,-50.159,0.1679,3.91519796,0.08234,0.001708,-0.0624,0,-1,-0.000588,20,13.8
14660,66,-65,-50.255,0.1678,3.917110044,0.08189,0.001704,-0.06197,0,-1,-0.000584,20,13.9
14765,66,-65,-50.352,0.1676,3.91903834,0.08145,0.001699,-0.06155,0,-1,-0.00058,20,14
14870,66,-65,-50.449,0.1675,3.920962925,0.081,0.001694,-0.06112,0,-1,-0.000576,20,14.1
14975,66,-65,-50.545,0.1673,3.922864029,0.08056,0.00169,-0.0607,0,-1,-0.000572,20,14.2
15080,66,-65,-50.641,0.1672,3.924761525,0.08011,0.001685,-0.06029,0,-1,-0.000568,20,14.3
15185,66,-65,-50.737,0.167,3.926655427,0.07967,0.001681,-0.05987,0,-1,-0.000564,20,14.4
15290,66,-65,-50.833,0.1669,3.92854575,0.07923,0.001676,-0.05946,0,-1,-0.00056,20,14.5
15395,66,-65,-50.929,0.1667,3.930432506,0.07879,0.001671,-0.05905,0,-1,-0.000557,20,14.6
15500,66,-65,-51.025,0.1666,3.932315709,0.07835,0.001667,-0.05864,0,-1,-0.000553,20,14.7
15605,66,-65,-51.12,0.1665,3.93417581,0.07791,0.001662,-0.05824,0,-1,-0.000549,20,14.8
15710,66,-65,-51.215,0.1663,3.936032458,0.07747,0.001657,-0.05784,0,-1,-0.000545,20,14.9
15815,66,-65,-51.31,0.1662,3.937885665,0.07703,0.001653,-0.05744,0,-1,-0.000541,20,15
15920,66,-65,-51.405,0.166,3.939735444,0.0766,0.001648,-0.05704,0,-1,-0.000538,20,15.1
16025,66,-65,-51.5,0.1659,3.941581808,0.07616,0.001644,-0.05665,0,-1,-0.000534,20,15.2
16130,66,-65,-51.594,0.1657,3.943405387,0.07573,0.001639,-0.05626,0,-1,-0.00053,20,15.3
16235,66,-65,-51.688,0.1656,3.945225646,0.07529,0.001635,-0.05587,0,-1,-0.000527,20,15.4
16340,66,-65,-51.782,0.1655,3.947042599,0.07486,0.00163,-0.05549,0,-1,-0.000523,20,15.5
16445,66,-65,-51.876,0.1653,3.948856255,0.07443,0.001626,-0.0551,0,-1,-0.000519,20,15.6
16550,66,-65,-51.97,0.1652,3.950666629,0.074,0.001621,-0.05472,0,-1,-0.000516,20,15.7
16655,66,-65,-52.064,0.165,3.952473731,0.07356,0.001617,-0.05434,0,-1,-0.000512,20,15.8
16760,66,-65,-52.157,0.1649,3.954258401,0.07314,0.001612,-0.05397,0,-1,-0.000509,20,15.9
16865,66,-65,-52.25,0.1647,3.956039891,0.07271,0.001608,-0.05359,0,-1,-0.000505,20,16
16970,66,-65,-52.343,0.1646,3.957818213,0.07228,0.001603,-0.05322,0,-1,-0.000502,20,16.1
17075,66,-65,-52.436,0.1645,3.959593378,0.07185,0.001599,-0.05285,0,-1,-0.000498,20,16.2
17180,66,-65,-52.528,0.1643,3.961346361,0.07143,0.001594,-0.05249,0,-1,-0.000495,20,16.3
17285,66,-65,-52.62,0.1642,3.963096276,0.071,0.00159,-0.05212,0,-1,-0.000491,20,16.4
17390,66,-65,-52.712,0.1641,3.964843134,0.07058,0.001585,-0.05176,0,-1,-0.000488,20,16.5
17495,66,-65,-52.804,0.1639,3.966586945,0.07015,0.001581,-0.0514,0,-1,-0.000484,20,16.6
17600,66,-65,-52.896,0.1638,3.968327722,0.06973,0.001576,-0.05105,0,-1,-0.000481,20,16.7
17705,66,-65,-52.988,0.1636,3.970065473,0.06931,0.001572,-0.05069,0,-1,-0.000478,20,16.8
17810,66,-65,-53.079,0.1635,3.97178137,0.06889,0.001568,-0.05034,0,-1,-0.000474,20,16.9
17915,66,-65,-53.17,0.1634,3.973494328,0.06847,0.001563,-0.04999,0,-1,-0.000471,20,17
18020,66,-65,-53.261,0.1632,3.975204356,0.06805,0.001559,-0.04964,0,-1,-0.000468,20,17.1
18125,66,-65,-53.351,0.1631,3.976892722,0.06763,0.001554,-0.0493,0,-1,-0.000465,20,17.2
18230,66,-65,-53.442,0.163,3.978596954,0.06722,0.00155,-0.04895,0,-1,-0.000461,20,17.3
18335,66,-65,-53.532,0.1628,3.980279606,0.0668,0.001546,-0.04861,0,-1,-0.000458,20,17.4
18440,66,-65,-53.622,0.1627,3.981959432,0.06639,0.001541,-0.04828,0,-1,-0.000455,20,17.5
18545,66,-65,-53.712,0.1625,3.98363644,0.06597,0.001537,-0.04794,0,-1,-0.000452,20,17.6
18650,66,-65,-53.802,0.1624,3.985310641,0.06556,0.001533,-0.04761,0,-1,-0.000449,20,17.7
18755,66,-65,-53.891,0.1623,3.986963488,0.06515,0.001528,-0.04727,0,-1,-0.000446,20,17.8
18860,66,-65,-53.98,0.1621,3.988613608,0.06474,0.001524,-0.04694,0,-1,-0.000442,20,17.9
18965,66,-65,-54.069,0.162,3.990261009,0.06433,0.00152,-0.04662,0,-1,-0.000439,20,18
19070,66,-65,-54.158,0.1619,3.9919057,0.06392,0.001516,-0.04629,0,-1,-0.000436,20,18.1
19175,66,-65,-54.247,0.1617,3.993547691,0.06351,0.001511,-0.04597,0,-1,-0.000433,20,18.2
19280,66,-65,-54.335,0.1616,3.995168587,0.06311,0.001507,-0.04565,0,-1,-0.00043,20,18.3
19385,66,-65,-54.423,0.1615,3.996786859,0.0627,0.001503,-0.04533,0,-1,-0.000427,20,18.4
19490,66,-65,-54.511,0.1613,3.998402516,0.0623,0.001499,-0.04501,0,-1,-0.000424,20,18.5
19595,66,-65,-54.599,0.1612,4.000015568,0.06189,0.001494,-0.0447,0,-1,-0.000421,20,18.6
19700,66,-65,-54.686,0.1611,4.001607735,0.06149,0.00149,-0.04439,0,-1,-0.000418,20,18.7
19805,66,-65,-54.773,0.1609,4.003197372,0.06109,0.001486,-0.04408,0,-1,-0.000415,20,18.8
19910,66,-65,-54.86,0.1608,4.004784486,0.06069,0.001482,-0.04377,0,-1,-0.000413,20,18.9
20015,66,-65,-54.947,0.1607,4.006369084,0.06029,0.001478,-0.04346,0,-1,-0.00041,20,19
20120,66,-65,-55.033,0.1606,4.007933005,0.05989,0.001473,-0.04316,0,-1,-0.000407,20,19.1
20225,66,-65,-55.119,0.1604,4.009494484,0.05949,0.001469,-0.04285,0,-1,-0.000404,20,19.2
20330,66,-65,-55.205,0.1603,4.011053529,0.0591,0.001465,-0.04255,0,-1,-0.000401,20,19.3
20435,66,-65,-55.291,0.1602,4.012610147,0.0587,0.001461,-0.04225,0,-1,-0.000398,20,19.4
20540,66,-65,-55.377,0.16,4.014164345,0.05831,0.001457,-0.04196,0,-1,-0.000395,20,19.5
20645,66,-65,-55.462,0.1599,4.015698102,0.05792,0.001453,-0.04166,0,-1,-0.000393,20,19.6
20750,66,-65,-55.547,0.1598,4.017229509,0.05752,0.001449,-0.04137,0,-1,-0.00039,20,19.7
20855,66,-65,-55.632,0.1597,4.018758575,0.05713,0.001445,-0.04108,0,-1,-0.000387,20,19.8
20960,66,-65,-55.716,0.1595,4.020267359,0.05675,0.00144,-0.04079,0,-1,-0.000384,20,19.9
21065,66,-65,-55.8,0.1594,4.021773869,0.05636,0.001436,-0.0405,0,-1,-0.000382,20,20
21170,66,-65,-55.884,0.1593,4.023278114,0.05597,0.001432,-0.04022,0,-1,-0.000379,20,20.1
21275,66,-65,-55.968,0.1591,4.024780099,0.05559,0.001428,-0.03994,0,-1,-0.000376,20,20.2
21380,66,-65,-56.051,0.159,4.026261991,0.0552,0.001424,-0.03966,0,-1,-0.000374,20,20.3
21485,66,-65,-56.134,0.1589,4.02774169,0.05482,0.00142,-0.03938,0,-1,-0.000371,20,20.4
21590,66,-65,-56.217,0.1588,4.029219202,0.05444,0.001416,-0.0391,0,-1,-0.000369,20,20.5
21695,66,-65,-56.299,0.1586,4.030676773,0.05406,0.001412,-0.03882,0,-1,-0.000366,20,20.6
21800,66,-65,-56.381,0.1585,4.032132222,0.05368,0.001408,-0.03855,0,-1,-0.000363,20,20.7
21905,66,-65,-56.463,0.1584,4.033585556,0.0533,0.001404,-0.03828,0,-1,-0.000361,20,20.8
22010,66,-65,-56.545,0.1583,4.035036781,0.05293,0.001401,-0.03801,0,-1,-0.000358,20,20.9
22115,66,-65,-56.626,0.1582,4.036468244,0.05255,0.001397,-0.03774,0,-1,-0.000356,20,21
22220,66,-65,-56.707,0.158,4.03789766,0.05218,0.001393,-0.03747,0,-1,-0.000353,20,21.1
22325,66,-65,-56.788,0.1579,4.039325036,0.05181,0.001389,-0.03721,0,-1,-0.000351,20,21.2
22430,66,-65,-56.868,0.1578,4.040732793,0.05144,0.001385,-0.03695,0,-1,-0.000348,20,21.3
22535,66,-65,-56.948,0.1577,4.042138571,0.05107,0.001381,-0.03669,0,-1,-0.000346,20,21.4
22640,66,-65,-57.028,0.1575,4.043542375,0.0507,0.001377,-0.03643,0,-1,-0.000343,20,21.5
22745,66,-65,-57.108,0.1574,4.044944212,0.05034,0.001373,-0.03617,0,-1,-0.000341,20,21.6
22850,66,-65,-57.187,0.1573,4.0463266,0.04997,0.00137,-0.03592,0,-1,-0.000339,20,21.7
22955,66,-65,-57.265,0.1572,4.047689617,0.04961,0.001366,-0.03567,0,-1,-0.000336,20,21.8
23060,66,-65,-57.344,0.1571,4.049068217,0.04925,0.001362,-0.03542,0,-1,-0.000334,20,21.9
23165,66,-65,-57.422,0.157,4.050427505,0.04889,0.001358,-0.03517,0,-1,-0.000331,20,22
23270,66,-65,-57.5,0.1568,4.051784948,0.04853,0.001354,-0.03492,0,-1,-0.000329,20,22.1
23375,66,-65,-57.577,0.1567,4.053123182,0.04818,0.001351,-0.03468,0,-1,-0.000327,20,22.2
23480,66,-65,-57.654,0.1566,4.054459629,0.04782,0.001347,-0.03443,0,-1,-0.000325,20,22.3
23585,66,-65,-57.731,0.1565,4.055794291,0.04747,0.001343,-0.03419,0,-1,-0.000322,20,22.4
23690,66,-65,-57.807,0.1564,4.057109876,0.04712,0.00134,-0.03395,0,-1,-0.00032,20,22.5
23795,66,-65,-57.883,0.1563,4.058423732,0.04677,0.001336,-0.03372,0,-1,-0.000318,20,22.6
23900,66,-65,-57.959,0.1561,4.059735864,0.04642,0.001332,-0.03348,0,-1,-0.000316,20,22.7
24005,66,-65,-58.034,0.156,4.061029046,0.04607,0.001329,-0.03325,0,-1,-0.000313,20,22.8
24110,66,-65,-58.109,0.1559,4.062320557,0.04573,0.001325,-0.03302,0,-1,-0.000311,20,22.9
24215,66,-65,-58.183,0.1558,4.063593216,0.04538,0.001322,-0.03279,0,-1,-0.000309,20,23
