,node,z,head,psi,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
4845,16,-15.00 ,-276.687,5.622886903,0.1747,0.001369,0.0001942,0.0102,0,-1,0.000409,20,4.6
4950,16,-15.00 ,-276.548,5.622384404,0.1748,0.001372,0.0001943,0.01025,0,-1,0.000411,20,4.7
5055,16,-15.00 ,-276.41,5.621885271,0.1748,0.001374,0.0001945,0.0103,0,-1,0.000412,20,4.8
5160,16,-15.00 ,-276.274,5.621393127,0.1748,0.001376,0.0001946,0.01034,0,-1,0.000414,20,4.9
5265,16,-15.00 ,-276.14,5.620907983,0.1748,0.001378,0.0001948,0.01039,0,-1,0.000416,20,5
5370,16,-15.00 ,-276.008,5.620429851,0.1749,0.001381,0.0001949,0.01044,0,-1,0.000418,20,5.1
5475,16,-15.00 ,-275.878,5.619958739,0.1749,0.001383,0.0001951,0.01048,0,-1,0.00042,20,5.2
5580,16,-15.00 ,-275.75,5.619494658,0.1749,0.001385,0.0001952,0.01053,0,-1,0.000422,20,5.3
5685,16,-15.00 ,-275.623,5.61903399,0.1749,0.001387,0.0001953,0.01058,0,-1,0.000424,20,5.4
5790,16,-15.00 ,-275.498,5.618580369,0.175,0.001389,0.0001955,0.01062,0,-1,0.000426,20,5.5
5895,16,-15.00 ,-275.374,5.618130174,0.175,0.001391,0.0001956,0.01067,0,-1,0.000427,20,5.6
6000,16,-15.00 ,-275.252,5.617687042,0.175,0.001393,0.0001957,0.01072,0,-1,0.000429,20,5.7
6105,16,-15.00 ,-275.131,5.617247348,0.175,0.001395,0.0001959,0.01076,0,-1,0.000431,20,5.8
6210,16,-15.00 ,-275.011,5.616811097,0.1751,0.001397,0.000196,0.01081,0,-1,0.000433,20,5.9
6315,16,-15.00 ,-274.893,5.616381931,0.1751,0.001399,0.0001961,0.01085,0,-1,0.000435,20,6
6420,16,-15.00 ,-274.775,5.615952581,0.1751,0.001401,0.0001963,0.01089,0,-1,0.000436,20,6.1
6525,16,-15.00 ,-274.659,5.615530328,0.1751,0.001403,0.0001964,0.01094,0,-1,0.000438,20,6.2
6630,16,-15.00 ,-274.543,5.615107897,0.1752,0.001405,0.0001965,0.01098,0,-1,0.00044,20,6.3
6735,16,-15.00 ,-274.429,5.614692575,0.1752,0.001407,0.0001966,0.01102,0,-1,0.000442,20,6.4
6840,16,-15.00 ,-274.315,5.614277081,0.1752,0.001409,0.0001967,0.01107,0,-1,0.000443,20,6.5
6945,16,-15.00 ,-274.202,5.613865061,0.1752,0.00141,0.0001969,0.01111,0,-1,0.000445,20,6.6
7050,16,-15.00 ,-274.09,5.61345652,0.1752,0.001412,0.000197,0.01115,0,-1,0.000447,20,6.7
7155,16,-15.00 ,-273.979,5.613051461,0.1753,0.001414,0.0001971,0.01119,0,-1,0.000448,20,6.8
7260,16,-15.00 ,-273.869,5.61264989,0.1753,0.001416,0.0001972,0.01123,0,-1,0.00045,20,6.9
7365,16,-15.00 ,-273.76,5.61225181,0.1753,0.001418,0.0001973,0.01127,0,-1,0.000452,20,7
7470,16,-15.00 ,-273.652,5.611857226,0.1753,0.00142,0.0001975,0.01131,0,-1,0.000453,20,7.1
7575,16,-15.00 ,-273.545,5.611466142,0.1754,0.001421,0.0001976,0.01135,0,-1,0.000455,20,7.2
7680,16,-15.00 ,-273.439,5.611078562,0.1754,0.001423,0.0001977,0.01139,0,-1,0.000456,20,7.3
7785,16,-15.00 ,-273.334,5.610694491,0.1754,0.001425,0.0001978,0.01142,0,-1,0.000458,20,7.4
7890,16,-15.00 ,-273.23,5.610313931,0.1754,0.001427,0.0001979,0.01146,0,-1,0.000459,20,7.5
7995,16,-15.00 ,-273.126,5.609933227,0.1754,0.001428,0.000198,0.0115,0,-1,0.000461,20,7.6
