,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
5370,16.0,-15.0,-276.008,0.1749,0.001381,0.0001949,0.01044,0.0,-1.0,0.000418,20.0,5.1000000000000005
5475,16.0,-15.0,-275.878,0.1749,0.001383,0.0001951,0.01048,0.0,-1.0,0.00042,20.0,5.2
5580,16.0,-15.0,-275.75,0.1749,0.001385,0.0001952,0.01053,0.0,-1.0,0.000422,20.0,5.300000000000001
5685,16.0,-15.0,-275.623,0.1749,0.001387,0.0001953,0.01058,0.0,-1.0,0.000424,20.0,5.4
5790,16.0,-15.0,-275.498,0.175,0.001389,0.0001955,0.01062,0.0,-1.0,0.000426,20.0,5.5
5895,16.0,-15.0,-275.374,0.175,0.001391,0.0001956,0.01067,0.0,-1.0,0.000427,20.0,5.6000000000000005
6000,16.0,-15.0,-275.252,0.175,0.001393,0.0001957,0.01072,0.0,-1.0,0.000429,20.0,5.7
6105,16.0,-15.0,-275.131,0.175,0.001395,0.0001959,0.01076,0.0,-1.0,0.000431,20.0,5.800000000000001
6210,16.0,-15.0,-275.011,0.1751,0.001397,0.000196,0.01081,0.0,-1.0,0.000433,20.0,5.9
6315,16.0,-15.0,-274.893,0.1751,0.001399,0.0001961,0.01085,0.0,-1.0,0.000435,20.0,6.0
6420,16.0,-15.0,-274.775,0.1751,0.001401,0.0001963,0.01089,0.0,-1.0,0.000436,20.0,6.1000000000000005
6525,16.0,-15.0,-274.659,0.1751,0.001403,0.0001964,0.01094,0.0,-1.0,0.000438,20.0,6.2
6630,16.0,-15.0,-274.543,0.1752,0.001405,0.0001965,0.01098,0.0,-1.0,0.00044,20.0,6.300000000000001
6735,16.0,-15.0,-274.429,0.1752,0.001407,0.0001966,0.01102,0.0,-1.0,0.000442,20.0,6.4
6840,16.0,-15.0,-274.315,0.1752,0.001409,0.0001967,0.01107,0.0,-1.0,0.000443,20.0,6.5
6945,16.0,-15.0,-274.202,0.1752,0.00141,0.0001969,0.01111,0.0,-1.0,0.000445,20.0,6.6000000000000005
7050,16.0,-15.0,-274.09,0.1752,0.001412,0.000197,0.01115,0.0,-1.0,0.000447,20.0,6.7
7155,16.0,-15.0,-273.979,0.1753,0.001414,0.0001971,0.01119,0.0,-1.0,0.000448,20.0,6.800000000000001
7260,16.0,-15.0,-273.869,0.1753,0.001416,0.0001972,0.01123,0.0,-1.0,0.00045,20.0,6.9
7365,16.0,-15.0,-273.76,0.1753,0.001418,0.0001973,0.01127,0.0,-1.0,0.000452,20.0,7.0
7470,16.0,-15.0,-273.652,0.1753,0.00142,0.0001975,0.01131,0.0,-1.0,0.000453,20.0,7.1000000000000005
7575,16.0,-15.0,-273.545,0.1754,0.001421,0.0001976,0.01135,0.0,-1.0,0.000455,20.0,7.2
7680,16.0,-15.0,-273.439,0.1754,0.001423,0.0001977,0.01139,0.0,-1.0,0.000456,20.0,7.300000000000001
7785,16.0,-15.0,-273.334,0.1754,0.001425,0.0001978,0.01142,0.0,-1.0,0.000458,20.0,7.4
7890,16.0,-15.0,-273.23,0.1754,0.001427,0.0001979,0.01146,0.0,-1.0,0.000459,20.0,7.5
7995,16.0,-15.0,-273.126,0.1754,0.001428,0.000198,0.0115,0.0,-1.0,0.000461,20.0,7.6000000000000005
8100,16.0,-15.0,-273.023,0.1755,0.00143,0.0001981,0.01153,0.0,-1.0,0.000462,20.0,7.7
8205,16.0,-15.0,-272.919,0.1755,0.001432,0.0001983,0.01157,0.0,-1.0,0.000464,20.0,7.800000000000001
8310,16.0,-15.0,-272.817,0.1755,0.001433,0.0001984,0.01161,0.0,-1.0,0.000465,20.0,7.9
8415,16.0,-15.0,-272.714,0.1755,0.001435,0.0001985,0.01164,0.0,-1.0,0.000466,20.0,8.0
8520,16.0,-15.0,-272.612,0.1755,0.001437,0.0001986,0.01168,0.0,-1.0,0.000468,20.0,8.1
8625,16.0,-15.0,-272.511,0.1756,0.001438,0.0001987,0.01171,0.0,-1.0,0.000469,20.0,8.200000000000001
8730,16.0,-15.0,-272.409,0.1756,0.00144,0.0001988,0.01175,0.0,-1.0,0.000471,20.0,8.3
8835,16.0,-15.0,-272.308,0.1756,0.001442,0.0001989,0.01178,0.0,-1.0,0.000472,20.0,8.4
8940,16.0,-15.0,-272.207,0.1756,0.001443,0.000199,0.01181,0.0,-1.0,0.000473,20.0,8.5
9045,16.0,-15.0,-272.107,0.1756,0.001445,0.0001991,0.01185,0.0,-1.0,0.000475,20.0,8.6
9150,16.0,-15.0,-272.007,0.1756,0.001447,0.0001992,0.01188,0.0,-1.0,0.000476,20.0,8.700000000000001
