,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
4625,6.0,-5.0,-463.851,0.1507,0.0002369,8.797e-05,0.01276,0.0,-1.0,0.000511,20.0,4.4
4730,6.0,-5.0,-465.038,0.1506,0.0002343,8.757e-05,0.01274,0.0,-1.0,0.000511,20.0,4.5
4835,6.0,-5.0,-466.188,0.1505,0.0002318,8.718e-05,0.01272,0.0,-1.0,0.00051,20.0,4.6000000000000005
4940,6.0,-5.0,-467.302,0.1504,0.0002293,8.68e-05,0.01271,0.0,-1.0,0.000509,20.0,4.7
5045,6.0,-5.0,-468.381,0.1503,0.0002269,8.643e-05,0.01269,0.0,-1.0,0.000508,20.0,4.800000000000001
5150,6.0,-5.0,-469.426,0.1502,0.0002246,8.607e-05,0.01267,0.0,-1.0,0.000507,20.0,4.9
5255,6.0,-5.0,-470.439,0.1501,0.0002224,8.573e-05,0.01265,0.0,-1.0,0.000507,20.0,5.0
5360,6.0,-5.0,-471.42,0.15,0.0002202,8.539e-05,0.01263,0.0,-1.0,0.000506,20.0,5.1000000000000005
5465,6.0,-5.0,-472.371,0.1499,0.0002181,8.507e-05,0.01261,0.0,-1.0,0.000505,20.0,5.2
5570,6.0,-5.0,-473.292,0.1498,0.0002161,8.476e-05,0.01259,0.0,-1.0,0.000504,20.0,5.300000000000001
5675,6.0,-5.0,-474.186,0.1497,0.0002141,8.445e-05,0.01257,0.0,-1.0,0.000503,20.0,5.4
5780,6.0,-5.0,-475.052,0.1496,0.0002122,8.416e-05,0.01255,0.0,-1.0,0.000503,20.0,5.5
5885,6.0,-5.0,-475.892,0.1496,0.0002104,8.387e-05,0.01253,0.0,-1.0,0.000502,20.0,5.6000000000000005
5990,6.0,-5.0,-476.707,0.1495,0.0002086,8.359e-05,0.01251,0.0,-1.0,0.000501,20.0,5.7
6095,6.0,-5.0,-477.496,0.1494,0.0002068,8.333e-05,0.01249,0.0,-1.0,0.0005,20.0,5.800000000000001
6200,6.0,-5.0,-478.263,0.1493,0.0002051,8.306e-05,0.01247,0.0,-1.0,0.000499,20.0,5.9
