 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2022    Time:  10:20:35
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46   -45.0000     -30.106 0.2177   0.5464E+00  0.3721E-02 -0.3270E+00  0.0000E+00      -1  -0.308E-02   20.00
  47   -46.0000     -29.705 0.2191   0.5725E+00  0.3787E-02 -0.3483E+00  0.0000E+00      -1  -0.328E-02   20.00
  48   -47.0000     -29.312 0.2208   0.6174E+00  0.3870E-02 -0.3769E+00  0.0000E+00      -1  -0.355E-02   20.00
  49   -48.0000     -28.926 0.2225   0.6614E+00  0.3953E-02 -0.4084E+00  0.0000E+00      -1  -0.385E-02   20.00
  50   -49.0000     -28.548 0.2241   0.7047E+00  0.4033E-02 -0.4400E+00  0.0000E+00      -1  -0.415E-02   20.00
  51   -50.0000     -28.175 0.2258   0.7472E+00  0.4113E-02 -0.4714E+00  0.0000E+00      -1  -0.444E-02   20.00
  52   -51.0000     -27.810 0.2274   0.7889E+00  0.4191E-02 -0.5028E+00  0.0000E+00      -1  -0.474E-02   20.00
  53   -52.0000     -27.450 0.2290   0.8299E+00  0.4267E-02 -0.5341E+00  0.0000E+00      -1  -0.503E-02   20.00
  54   -53.0000     -27.097 0.2305   0.8703E+00  0.4343E-02 -0.5653E+00  0.0000E+00      -1  -0.533E-02   20.00
  55   -54.0000     -26.749 0.2320   0.9099E+00  0.4417E-02 -0.5964E+00  0.0000E+00      -1  -0.562E-02   20.00
  56   -55.0000     -26.408 0.2335   0.9489E+00  0.4489E-02 -0.6274E+00  0.0000E+00      -1  -0.591E-02   20.00
  57   -56.0000     -26.072 0.2350   0.9873E+00  0.4561E-02 -0.6582E+00  0.0000E+00      -1  -0.620E-02   20.00
  58   -57.0000     -25.741 0.2364   0.1025E+01  0.4632E-02 -0.6889E+00  0.0000E+00      -1  -0.649E-02   20.00
  59   -58.0000     -25.416 0.2379   0.1062E+01  0.4701E-02 -0.7194E+00  0.0000E+00      -1  -0.678E-02   20.00
  60   -59.0000     -25.096 0.2393   0.1099E+01  0.4769E-02 -0.7497E+00  0.0000E+00      -1  -0.707E-02   20.00
  61   -60.0000     -24.781 0.2406   0.1135E+01  0.4836E-02 -0.7798E+00  0.0000E+00      -1  -0.735E-02   20.00
  62   -61.0000     -24.471 0.2420   0.1170E+01  0.4902E-02 -0.8098E+00  0.0000E+00      -1  -0.763E-02   20.00
  63   -62.0000     -24.165 0.2433   0.1205E+01  0.4967E-02 -0.8395E+00  0.0000E+00      -1  -0.791E-02   20.00
  64   -63.0000     -23.864 0.2446   0.1239E+01  0.5032E-02 -0.8715E+00  0.0000E+00      -1  -0.821E-02   20.00
  65   -64.0000     -23.568 0.2461   0.1287E+01  0.5101E-02 -0.9147E+00  0.0000E+00      -1  -0.862E-02   20.00
  66   -65.0000     -23.276 0.2477   0.1371E+01  0.5185E-02 -0.9735E+00  0.0000E+00      -1  -0.918E-02   20.00
  67   -66.0000     -22.988 0.2494   0.1455E+01  0.5269E-02 -0.1039E+01  0.0000E+00      -1  -0.979E-02   20.00
  68   -67.0000     -22.704 0.2510   0.1537E+01  0.5351E-02 -0.1104E+01  0.0000E+00      -1  -0.104E-01   20.00
  69   -68.0000     -22.425 0.2526   0.1618E+01  0.5433E-02 -0.1168E+01  0.0000E+00      -1  -0.110E-01   20.00
