,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
5370,16.0,-15.0,-64.378,0.1487,0.03082,0.001119,0.01671,0.0,-1.0,0.000158,20.0,5.1000000000000005
5475,16.0,-15.0,-64.67,0.1484,0.03039,0.001111,0.01659,0.0,-1.0,0.000156,20.0,5.2
5580,16.0,-15.0,-64.957,0.1481,0.02997,0.001104,0.01649,0.0,-1.0,0.000155,20.0,5.300000000000001
5685,16.0,-15.0,-65.237,0.1478,0.02957,0.001096,0.01641,0.0,-1.0,0.000155,20.0,5.4
5790,16.0,-15.0,-65.516,0.1475,0.02916,0.001089,0.01631,0.0,-1.0,0.000154,20.0,5.5
5895,16.0,-15.0,-65.792,0.1473,0.02876,0.001081,0.01621,0.0,-1.0,0.000153,20.0,5.6000000000000005
6000,16.0,-15.0,-66.067,0.147,0.02836,0.001074,0.01612,0.0,-1.0,0.000152,20.0,5.7
6105,16.0,-15.0,-66.335,0.1467,0.02797,0.001067,0.01604,0.0,-1.0,0.000151,20.0,5.800000000000001
6210,16.0,-15.0,-66.601,0.1464,0.02759,0.00106,0.01595,0.0,-1.0,0.00015,20.0,5.9
6315,16.0,-15.0,-66.862,0.1462,0.0272,0.001053,0.01583,0.0,-1.0,0.000149,20.0,6.0
6420,16.0,-15.0,-67.118,0.1459,0.02683,0.001046,0.0157,0.0,-1.0,0.000148,20.0,6.1000000000000005
6525,16.0,-15.0,-67.374,0.1457,0.02646,0.00104,0.01559,0.0,-1.0,0.000147,20.0,6.2
6630,16.0,-15.0,-67.624,0.1454,0.02609,0.001033,0.01549,0.0,-1.0,0.000146,20.0,6.300000000000001
6735,16.0,-15.0,-67.873,0.1452,0.02573,0.001026,0.01542,0.0,-1.0,0.000145,20.0,6.4
6840,16.0,-15.0,-68.122,0.1449,0.02537,0.00102,0.01536,0.0,-1.0,0.000145,20.0,6.5
6945,16.0,-15.0,-68.367,0.1447,0.02501,0.001013,0.01529,0.0,-1.0,0.000144,20.0,6.6000000000000005
7050,16.0,-15.0,-68.611,0.1444,0.02466,0.001007,0.01521,0.0,-1.0,0.000143,20.0,6.7
7155,16.0,-15.0,-68.851,0.1442,0.02431,0.001,0.01512,0.0,-1.0,0.000143,20.0,6.800000000000001
7260,16.0,-15.0,-69.088,0.1439,0.02396,0.0009941,0.01502,0.0,-1.0,0.000142,20.0,6.9
7365,16.0,-15.0,-69.322,0.1437,0.02362,0.0009879,0.01492,0.0,-1.0,0.000141,20.0,7.0
7470,16.0,-15.0,-69.552,0.1435,0.02329,0.0009818,0.01481,0.0,-1.0,0.00014,20.0,7.1000000000000005
7575,16.0,-15.0,-69.782,0.1432,0.02296,0.0009757,0.01473,0.0,-1.0,0.000139,20.0,7.2
7680,16.0,-15.0,-70.012,0.143,0.02262,0.0009696,0.01469,0.0,-1.0,0.000138,20.0,7.300000000000001
7785,16.0,-15.0,-70.242,0.1428,0.02229,0.0009635,0.01464,0.0,-1.0,0.000138,20.0,7.4
7890,16.0,-15.0,-70.469,0.1425,0.02196,0.0009575,0.01459,0.0,-1.0,0.000137,20.0,7.5
7995,16.0,-15.0,-70.694,0.1423,0.02163,0.0009515,0.01452,0.0,-1.0,0.000137,20.0,7.6000000000000005
8100,16.0,-15.0,-70.917,0.1421,0.0213,0.0009456,0.01444,0.0,-1.0,0.000136,20.0,7.7
8205,16.0,-15.0,-71.137,0.1419,0.02098,0.0009398,0.01435,0.0,-1.0,0.000135,20.0,7.800000000000001
8310,16.0,-15.0,-71.354,0.1417,0.02067,0.000934,0.01426,0.0,-1.0,0.000134,20.0,7.9
8415,16.0,-15.0,-71.569,0.1414,0.02036,0.0009283,0.01417,0.0,-1.0,0.000134,20.0,8.0
8520,16.0,-15.0,-71.783,0.1412,0.02005,0.0009226,0.0141,0.0,-1.0,0.000133,20.0,8.1
8625,16.0,-15.0,-72.003,0.141,0.01973,0.0009168,0.01414,0.0,-1.0,0.000133,20.0,8.200000000000001
8730,16.0,-15.0,-72.222,0.1408,0.01941,0.000911,0.01413,0.0,-1.0,0.000133,20.0,8.3
8835,16.0,-15.0,-72.44,0.1406,0.01909,0.0009052,0.0141,0.0,-1.0,0.000133,20.0,8.4
8940,16.0,-15.0,-72.656,0.1403,0.01878,0.0008995,0.01406,0.0,-1.0,0.000132,20.0,8.5
9045,16.0,-15.0,-72.869,0.1401,0.01847,0.0008938,0.014,0.0,-1.0,0.000132,20.0,8.6
9150,16.0,-15.0,-73.08,0.1399,0.01816,0.0008882,0.01393,0.0,-1.0,0.000131,20.0,8.700000000000001
9255,16.0,-15.0,-73.289,0.1397,0.01785,0.0008827,0.01386,0.0,-1.0,0.000131,20.0,8.8
9360,16.0,-15.0,-73.495,0.1395,0.01755,0.0008772,0.01378,0.0,-1.0,0.00013,20.0,8.9
9465,16.0,-15.0,-73.699,0.1393,0.01726,0.0008718,0.0137,0.0,-1.0,0.000129,20.0,9.0
9570,16.0,-15.0,-73.918,0.1391,0.01694,0.0008661,0.01385,0.0,-1.0,0.000131,20.0,9.1
9675,16.0,-15.0,-74.133,0.1389,0.01663,0.0008603,0.01386,0.0,-1.0,0.000131,20.0,9.200000000000001
9780,16.0,-15.0,-74.346,0.1386,0.01632,0.0008547,0.01383,0.0,-1.0,0.00013,20.0,9.3
9885,16.0,-15.0,-74.556,0.1384,0.01601,0.0008491,0.01378,0.0,-1.0,0.00013,20.0,9.4
9990,16.0,-15.0,-74.763,0.1382,0.01571,0.0008436,0.01372,0.0,-1.0,0.000129,20.0,9.5
10095,16.0,-15.0,-74.967,0.138,0.01541,0.0008382,0.01365,0.0,-1.0,0.000129,20.0,9.600000000000001
10200,16.0,-15.0,-75.169,0.1378,0.01512,0.0008328,0.01358,0.0,-1.0,0.000128,20.0,9.700000000000001
10305,16.0,-15.0,-75.369,0.1376,0.01483,0.0008275,0.0135,0.0,-1.0,0.000127,20.0,9.8
10410,16.0,-15.0,-75.567,0.1374,0.01454,0.0008223,0.01343,0.0,-1.0,0.000127,20.0,9.9
10515,16.0,-15.0,-75.784,0.1372,0.01437,0.0008183,0.0134,0.0,-1.0,0.000126,20.0,10.0
10620,16.0,-15.0,-76.001,0.1371,0.01427,0.0008152,0.01338,0.0,-1.0,0.000126,20.0,10.100000000000001
10725,16.0,-15.0,-76.208,0.137,0.01417,0.0008122,0.01333,0.0,-1.0,0.000126,20.0,10.200000000000001
