 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   2. 1.2023    Time:  10:36:27
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  47   -46.0000    -135.063 0.2197   0.1429E-01  0.5502E-03  0.2546E-01  0.0000E+00      -1   0.102E-02   20.00
  48   -47.0000    -132.319 0.2212   0.1515E-01  0.5654E-03  0.2582E-01  0.0000E+00      -1   0.103E-02   20.00
  49   -48.0000    -129.652 0.2226   0.1600E-01  0.5802E-03  0.2605E-01  0.0000E+00      -1   0.104E-02   20.00
  50   -49.0000    -127.059 0.2240   0.1681E-01  0.5945E-03  0.2617E-01  0.0000E+00      -1   0.105E-02   20.00
  51   -50.0000    -124.537 0.2253   0.1761E-01  0.6085E-03  0.2618E-01  0.0000E+00      -1   0.105E-02   20.00
  52   -51.0000    -122.082 0.2266   0.1838E-01  0.6221E-03  0.2623E-01  0.0000E+00      -1   0.105E-02   20.00
  53   -52.0000    -119.694 0.2281   0.1951E-01  0.6381E-03  0.2670E-01  0.0000E+00      -1   0.107E-02   20.00
  54   -53.0000    -117.369 0.2298   0.2140E-01  0.6593E-03  0.2766E-01  0.0000E+00      -1   0.111E-02   20.00
  55   -54.0000    -115.105 0.2315   0.2323E-01  0.6800E-03  0.2865E-01  0.0000E+00      -1   0.115E-02   20.00
  56   -55.0000    -112.899 0.2331   0.2503E-01  0.7002E-03  0.2942E-01  0.0000E+00      -1   0.118E-02   20.00
  57   -56.0000    -110.750 0.2347   0.2677E-01  0.7199E-03  0.2999E-01  0.0000E+00      -1   0.120E-02   20.00
  58   -57.0000    -108.656 0.2362   0.2847E-01  0.7390E-03  0.3038E-01  0.0000E+00      -1   0.122E-02   20.00
  59   -58.0000    -106.614 0.2377   0.3013E-01  0.7577E-03  0.3060E-01  0.0000E+00      -1   0.123E-02   20.00
  60   -59.0000    -104.622 0.2392   0.3174E-01  0.7759E-03  0.3066E-01  0.0000E+00      -1   0.123E-02   20.00
  61   -60.0000    -102.680 0.2406   0.3332E-01  0.7937E-03  0.3059E-01  0.0000E+00      -1   0.123E-02   20.00
  62   -61.0000    -100.785 0.2420   0.3486E-01  0.8111E-03  0.3039E-01  0.0000E+00      -1   0.122E-02   20.00
  63   -62.0000     -98.935 0.2434   0.3636E-01  0.8280E-03  0.3007E-01  0.0000E+00      -1   0.120E-02   20.00
  64   -63.0000     -97.129 0.2447   0.3783E-01  0.8445E-03  0.2967E-01  0.0000E+00      -1   0.119E-02   20.00
  65   -64.0000     -95.366 0.2460   0.3937E-01  0.8611E-03  0.2957E-01  0.0000E+00      -1   0.118E-02   20.00
  66   -65.0000     -93.644 0.2477   0.4286E-01  0.8862E-03  0.3005E-01  0.0000E+00      -1   0.120E-02   20.00
  67   -66.0000     -91.961 0.2494   0.4628E-01  0.9107E-03  0.3065E-01  0.0000E+00      -1   0.123E-02   20.00
  68   -67.0000     -90.317 0.2510   0.4962E-01  0.9346E-03  0.3099E-01  0.0000E+00      -1   0.124E-02   20.00
  69   -68.0000     -88.710 0.2526   0.5288E-01  0.9580E-03  0.3111E-01  0.0000E+00      -1   0.125E-02   20.00
  70   -69.0000     -87.139 0.2542   0.5607E-01  0.9809E-03  0.3100E-01  0.0000E+00      -1   0.124E-02   20.00
  71   -70.0000     -85.603 0.2557   0.5919E-01  0.1003E-02  0.3071E-01  0.0000E+00      -1   0.123E-02   20.00
  72   -71.0000     -84.100 0.2572   0.6224E-01  0.1025E-02  0.3024E-01  0.0000E+00      -1   0.121E-02   20.00
  73   -72.0000     -82.630 0.2587   0.6522E-01  0.1047E-02  0.2960E-01  0.0000E+00      -1   0.119E-02   20.00
  74   -73.0000     -81.192 0.2601   0.6814E-01  0.1067E-02  0.2881E-01  0.0000E+00      -1   0.115E-02   20.00
  75   -74.0000     -79.784 0.2615   0.7100E-01  0.1088E-02  0.2789E-01  0.0000E+00      -1   0.112E-02   20.00
  76   -75.0000     -78.405 0.2629   0.7380E-01  0.1108E-02  0.2684E-01  0.0000E+00      -1   0.108E-02   20.00
  77   -76.0000     -77.056 0.2642   0.7654E-01  0.1128E-02  0.2567E-01  0.0000E+00      -1   0.103E-02   20.00
  78   -77.0000     -75.734 0.2655   0.7922E-01  0.1147E-02  0.2466E-01  0.0000E+00      -1   0.988E-03   20.00
  79   -78.0000     -74.439 0.2672   0.8530E-01  0.1175E-02  0.2400E-01  0.0000E+00      -1   0.962E-03   20.00
  80   -79.0000     -73.170 0.2688   0.9150E-01  0.1203E-02  0.2338E-01  0.0000E+00      -1   0.937E-03   20.00
  81   -80.0000     -71.927 0.2705   0.9757E-01  0.1230E-02  0.2250E-01  0.0000E+00      -1   0.901E-03   20.00
  82   -81.0000     -70.708 0.2721   0.1035E+00  0.1257E-02  0.2137E-01  0.0000E+00      -1   0.856E-03   20.00
  83   -82.0000     -69.513 0.2736   0.1094E+00  0.1283E-02  0.2000E-01  0.0000E+00      -1   0.801E-03   20.00
  84   -83.0000     -68.342 0.2752   0.1151E+00  0.1309E-02  0.1843E-01  0.0000E+00      -1   0.738E-03   20.00
  85   -84.0000     -67.193 0.2767   0.1207E+00  0.1335E-02  0.1665E-01  0.0000E+00      -1   0.667E-03   20.00
  86   -85.0000     -66.065 0.2782   0.1262E+00  0.1360E-02  0.1470E-01  0.0000E+00      -1   0.589E-03   20.00
  87   -86.0000     -64.959 0.2796   0.1316E+00  0.1384E-02  0.1258E-01  0.0000E+00      -1   0.504E-03   20.00
  88   -87.0000     -63.874 0.2810   0.1369E+00  0.1408E-02  0.1031E-01  0.0000E+00      -1   0.413E-03   20.00
  89   -88.0000     -62.808 0.2824   0.1421E+00  0.1431E-02  0.7897E-02  0.0000E+00      -1   0.316E-03   20.00
  90   -89.0000     -61.762 0.2838   0.1472E+00  0.1454E-02  0.5359E-02  0.0000E+00      -1   0.215E-03   20.00
  91   -90.0000     -60.735 0.2851   0.1523E+00  0.1477E-02  0.2712E-02  0.0000E+00      -1   0.109E-03   20.00
  92   -91.0000     -59.726 0.2865   0.1586E+00  0.1501E-02 -0.6702E-04  0.0000E+00      -1  -0.269E-05   20.00
  93   -92.0000     -58.735 0.2882   0.1697E+00  0.1532E-02 -0.3066E-02  0.0000E+00      -1  -0.123E-03   20.00
  94   -93.0000     -57.762 0.2898   0.1806E+00  0.1563E-02 -0.6348E-02  0.0000E+00      -1  -0.254E-03   20.00
  95   -94.0000     -56.805 0.2914   0.1913E+00  0.1593E-02 -0.9907E-02  0.0000E+00      -1  -0.397E-03   20.00
  96   -95.0000     -55.865 0.2930   0.2018E+00  0.1622E-02 -0.1372E-01  0.0000E+00      -1  -0.550E-03   20.00
  97   -96.0000     -54.941 0.2946   0.2122E+00  0.1651E-02 -0.1775E-01  0.0000E+00      -1  -0.711E-03   20.00
  98   -97.0000     -54.032 0.2961   0.2224E+00  0.1680E-02 -0.2201E-01  0.0000E+00      -1  -0.882E-03   20.00
  99   -98.0000     -53.138 0.2976   0.2324E+00  0.1708E-02 -0.2646E-01  0.0000E+00      -1  -0.106E-02   20.00
 100   -99.0000     -52.260 0.2991   0.2422E+00  0.1735E-02 -0.3109E-01  0.0000E+00      -1  -0.125E-02   20.00
 101  -100.0000     -51.395 0.3005   0.2519E+00  0.1762E-02 -0.3345E-01  0.0000E+00      -1  -0.134E-02   20.00
end


 Time:        0.1000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -721.468 0.1350   0.5416E-04  0.4475E-04  0.1000E+00  0.0000E+00      -1   0.401E-02   20.00
   2    -1.0000    -469.974 0.1501   0.2235E-03  0.8590E-04  0.2153E-01  0.0000E+00      -1   0.863E-03   20.00
   3    -2.0000    -437.080 0.1533   0.2961E-03  0.9710E-04  0.6650E-02  0.0000E+00      -1   0.266E-03   20.00
   4    -3.0000    -420.152 0.1549   0.3335E-03  0.1029E-03  0.4896E-02  0.0000E+00      -1   0.196E-03   20.00
   5    -4.0000    -405.487 0.1563   0.3658E-03  0.1078E-03  0.4843E-02  0.0000E+00      -1   0.194E-03   20.00
   6    -5.0000    -391.608 0.1576   0.3965E-03  0.1126E-03  0.5031E-02  0.0000E+00      -1   0.202E-03   20.00
   7    -6.0000    -378.460 0.1592   0.4520E-03  0.1189E-03  0.5376E-02  0.0000E+00      -1   0.215E-03   20.00
   8    -7.0000    -366.027 0.1609   0.5274E-03  0.1264E-03  0.5826E-02  0.0000E+00      -1   0.233E-03   20.00
   9    -8.0000    -354.275 0.1625   0.5986E-03  0.1336E-03  0.6246E-02  0.0000E+00      -1   0.250E-03   20.00
  10    -9.0000    -343.094 0.1640   0.6663E-03  0.1404E-03  0.6593E-02  0.0000E+00      -1   0.264E-03   20.00
  11   -10.0000    -332.436 0.1655   0.7309E-03  0.1469E-03  0.6871E-02  0.0000E+00      -1   0.275E-03   20.00
  12   -11.0000    -322.255 0.1669   0.7926E-03  0.1530E-03  0.7105E-02  0.0000E+00      -1   0.285E-03   20.00
  13   -12.0000    -312.479 0.1682   0.8519E-03  0.1590E-03  0.7351E-02  0.0000E+00      -1   0.295E-03   20.00
  14   -13.0000    -303.090 0.1696   0.9328E-03  0.1658E-03  0.7744E-02  0.0000E+00      -1   0.310E-03   20.00
  15   -14.0000    -294.142 0.1714   0.1081E-02  0.1754E-03  0.8296E-02  0.0000E+00      -1   0.332E-03   20.00
  16   -15.0000    -285.677 0.1730   0.1221E-02  0.1845E-03  0.8859E-02  0.0000E+00      -1   0.355E-03   20.00
  17   -16.0000    -277.588 0.1746   0.1355E-02  0.1932E-03  0.9351E-02  0.0000E+00      -1   0.375E-03   20.00
  18   -17.0000    -269.838 0.1761   0.1483E-02  0.2016E-03  0.9754E-02  0.0000E+00      -1   0.391E-03   20.00
  19   -18.0000    -262.405 0.1775   0.1606E-02  0.2096E-03  0.1008E-01  0.0000E+00      -1   0.404E-03   20.00
  20   -19.0000    -255.262 0.1789   0.1724E-02  0.2173E-03  0.1036E-01  0.0000E+00      -1   0.415E-03   20.00
  21   -20.0000    -248.373 0.1802   0.1838E-02  0.2247E-03  0.1064E-01  0.0000E+00      -1   0.426E-03   20.00
  22   -21.0000    -241.685 0.1816   0.1957E-02  0.2321E-03  0.1109E-01  0.0000E+00      -1   0.444E-03   20.00
  23   -22.0000    -235.267 0.1833   0.2245E-02  0.2443E-03  0.1174E-01  0.0000E+00      -1   0.470E-03   20.00
  24   -23.0000    -229.185 0.1850   0.2517E-02  0.2557E-03  0.1244E-01  0.0000E+00      -1   0.499E-03   20.00
  25   -24.0000    -223.355 0.1866   0.2778E-02  0.2668E-03  0.1309E-01  0.0000E+00      -1   0.524E-03   20.00
  26   -25.0000    -217.745 0.1881   0.3029E-02  0.2774E-03  0.1363E-01  0.0000E+00      -1   0.546E-03   20.00
  27   -26.0000    -212.338 0.1896   0.3271E-02  0.2876E-03  0.1408E-01  0.0000E+00      -1   0.564E-03   20.00
  28   -27.0000    -207.123 0.1911   0.3504E-02  0.2974E-03  0.1445E-01  0.0000E+00      -1   0.579E-03   20.00
  29   -28.0000    -202.081 0.1924   0.3730E-02  0.3069E-03  0.1478E-01  0.0000E+00      -1   0.592E-03   20.00
  30   -29.0000    -197.188 0.1938   0.3949E-02  0.3162E-03  0.1514E-01  0.0000E+00      -1   0.606E-03   20.00
  31   -30.0000    -192.408 0.1951   0.4163E-02  0.3252E-03  0.1559E-01  0.0000E+00      -1   0.624E-03   20.00
  32   -31.0000    -187.820 0.1968   0.4666E-02  0.3393E-03  0.1625E-01  0.0000E+00      -1   0.651E-03   20.00
  33   -32.0000    -183.437 0.1985   0.5190E-02  0.3537E-03  0.1708E-01  0.0000E+00      -1   0.684E-03   20.00
  34   -33.0000    -179.224 0.2001   0.5695E-02  0.3674E-03  0.1785E-01  0.0000E+00      -1   0.715E-03   20.00
  35   -34.0000    -175.156 0.2017   0.6182E-02  0.3807E-03  0.1853E-01  0.0000E+00      -1   0.742E-03   20.00
  36   -35.0000    -171.221 0.2032   0.6653E-02  0.3936E-03  0.1909E-01  0.0000E+00      -1   0.765E-03   20.00
  37   -36.0000    -167.410 0.2047   0.7109E-02  0.4060E-03  0.1955E-01  0.0000E+00      -1   0.783E-03   20.00
  38   -37.0000    -163.714 0.2061   0.7551E-02  0.4181E-03  0.1993E-01  0.0000E+00      -1   0.799E-03   20.00
  39   -38.0000    -160.125 0.2075   0.7981E-02  0.4298E-03  0.2028E-01  0.0000E+00      -1   0.813E-03   20.00
  40   -39.0000    -156.628 0.2088   0.8400E-02  0.4412E-03  0.2065E-01  0.0000E+00      -1   0.827E-03   20.00
  41   -40.0000    -153.205 0.2101   0.8810E-02  0.4524E-03  0.2109E-01  0.0000E+00      -1   0.845E-03   20.00
  42   -41.0000    -149.889 0.2117   0.9617E-02  0.4680E-03  0.2174E-01  0.0000E+00      -1   0.871E-03   20.00
  43   -42.0000    -146.701 0.2134   0.1062E-01  0.4857E-03  0.2255E-01  0.0000E+00      -1   0.904E-03   20.00
  44   -43.0000    -143.633 0.2151   0.1159E-01  0.5027E-03  0.2336E-01  0.0000E+00      -1   0.936E-03   20.00
  45   -44.0000    -140.664 0.2167   0.1252E-01  0.5191E-03  0.2408E-01  0.0000E+00      -1   0.965E-03   20.00
  46   -45.0000    -137.783 0.2182   0.1343E-01  0.5351E-03  0.2469E-01  0.0000E+00      -1   0.989E-03   20.00
  47   -46.0000    -134.984 0.2197   0.1432E-01  0.5506E-03  0.2518E-01  0.0000E+00      -1   0.101E-02   20.00
  48   -47.0000    -132.261 0.2212   0.1517E-01  0.5657E-03  0.2557E-01  0.0000E+00      -1   0.102E-02   20.00
  49   -48.0000    -129.610 0.2226   0.1601E-01  0.5804E-03  0.2588E-01  0.0000E+00      -1   0.104E-02   20.00
  50   -49.0000    -127.025 0.2240   0.1682E-01  0.5947E-03  0.2615E-01  0.0000E+00      -1   0.105E-02   20.00
  51   -50.0000    -124.499 0.2253   0.1762E-01  0.6087E-03  0.2643E-01  0.0000E+00      -1   0.106E-02   20.00
